Cluster ID,Resource ID,Resource Name,Account Name,Account Identifier,ClusterRole,FailoverOrder,Last Seen,Engine,Instance Type - Current,Instance Family - Current,Storage Type - Current,Idle,Hours Running,CPU Max,Memory Max,IOPS Max,Storage Throughput Max,Connections Max,Currency Code,Effective Rate - Current,Cost,Recommendation,Instance Recommendation,Instance Type - Recommended,Instance Family - Recommended,Storage Recommendation,Storage Type - Recommended,VCPU - Current,VCPU - Recommended,Memory - Current,Memory - Recommended,IOPS - Current,IOPS - Recommended,Storage - Current,Storage - Recommended,Storage Throughput - Current,Storage Throughput - Recommended,Previous Generation - Recommended,Equivalent Family - Recommended,Equivalent Memory - Recommended,Risk,Effective Rate - Recommended,Savings,Savings Percent,ACC-FDC-DIV,ACC-FDC-ENV,ACC-FDC-ENV2,ACC-FDC-MONTHLY-BUDGET,ACC-FDC-UAID,ACC-FDC-UAID2,ACC-FDC-nodepartment-thisiszone,ACC:FDC:DEPARTMENT,ADS-AWS-TEST-environments,ADS-K8S-TEST-F2NI2LE,APMID,APP-APM-LABEL,AppName,Application UID,Azure Resource Group,Business Unit,DIVISION,FNX Environment ID,Name,Purpose,UAID,argocd-instances,Export Order
clx-prod-fraudvas-db-west,arn:aws:rds:us-west-2:675440017561:db:clx-prod-fraudvas-db-west-instance-3,clx-prod-fraudvas-db-west-instance-3,FDAWS BusinessTrack Prod,675440017561,Writer,0,2025-06-03T21:00:00Z,Aurora MySQL,db.r5.16xlarge,r5,aurora,95,694.00,5,83,15031,4475,130,USD,7.33,5087.85,Rightsize,Rightsize,db.x2g.8xlarge,x2g,,,64.00000,32.00000,512.00000,512.00000,0,N/A,0,N/A,N/A,9000,false,false,true,0.00,4.77,1780.75,35.00,,prod,prod,500,uaid-02135,uaid-02135,,gbs - rocco,,,,,,,,,gbs - rocco,,,,,,1
N/A,arn:aws:rds:us-east-1:876055497336:db:master-secure-vpc,master-secure-vpc,Gyft Production,876055497336,Instance,,2025-06-03T21:00:00Z,MySQL,db.r5.4xlarge,r5,io1,0,694.00,47,85,530079,113568,857,USD,3.03,2967.81,Rightsize,Rightsize,db.x2g.2xlarge,x2g,Rightsize,gp3,16.00000,8.00000,128.00000,128.00000,5000,12000,666,666,3500,4750,false,false,true,0.00,2.06,1349.45,46.00,,prod,prod,43500,uaid-05824,uaid-05824,,nss,,,,,,,,,nss,,,,,,2
clx-prod-fraudvas-db-cluster-1,arn:aws:rds:us-east-1:675440017561:db:clx-prod-fraudvas-db-instance-1,clx-prod-fraudvas-db-instance-1,FDAWS BusinessTrack Prod,675440017561,Reader,1,2025-06-03T21:00:00Z,Aurora MySQL,db.r5.4xlarge,r5,aurora,100,694.00,21,82,28898,3788,0,USD,1.83,1271.96,Terminate,Terminate,db.r5.4xlarge,r5,,,16.00000,16.00000,128.00000,128.00000,0,N/A,0,N/A,3500,3500,false,true,true,0.00,1.83,1271.96,100.00,,prod,prod,500,uaid-02135,uaid-02135,,gbs - rocco,,,,,,,,,gbs - rocco,,,,,,3
clx-prod-fraudvas-db-cluster-1,arn:aws:rds:us-east-1:675440017561:db:clx-prod-fraudvas-db-instance-1-us-east-1a,clx-prod-fraudvas-db-instance-1-us-east-1a,FDAWS BusinessTrack Prod,675440017561,Reader,1,2025-06-03T21:00:00Z,Aurora MySQL,db.r5.4xlarge,r5,aurora,100,694.00,23,82,30603,4011,0,USD,1.83,1271.96,Terminate,Terminate,db.r5.4xlarge,r5,,,16.00000,16.00000,128.00000,128.00000,0,N/A,0,N/A,3500,3500,false,true,true,0.00,1.83,1271.96,100.00,,prod,prod,500,uaid-02135,uaid-02135,,gbs - rocco,,,,,,,,,gbs - rocco,,,,,,4
N/A,arn:aws:rds:us-east-1:876055497336:db:master-secure-replica-vpc,master-secure-replica-vpc,Gyft Production,876055497336,Instance,,2025-06-03T21:00:00Z,MySQL,db.r5.2xlarge,r5,io1,0,694.00,15,85,267000,54996,29,USD,1.52,1976.89,Rightsize,Rightsize,db.x2g.xlarge,x2g,Rightsize,gp2,8.00000,4.00000,64.00000,64.00000,5000,3000,1000,1000,3500,4750,false,false,true,0.00,1.03,1091.90,55.00,,prod,prod,43500,uaid-05824,uaid-05824,,nss,,,,,,,,,nss,,,,,,5
wgiftcard-aurora-test-cluster,arn:aws:rds:us-east-1:958612202038:db:wgiftcard-aurora-test,wgiftcard-aurora-test,FDAWS Gift Solutions - Prod,958612202038,Reader (Failover),1,2025-06-03T22:00:00Z,Aurora MySQL,db.r5.8xlarge,r5,aurora,94,694.00,5,80,3320,435,185,USD,3.67,2543.93,Rightsize,Rightsize,db.x2g.4xlarge,x2g,,,32.00000,16.00000,256.00000,256.00000,0,N/A,0,N/A,N/A,4750,false,false,true,0.00,2.38,890.37,35.00,,prod,prod,49200,uaid-05823,uaid-05823,,nss,,,,,,,,,nss,,,,,,6
wgiftcard-aurora-test-cluster,arn:aws:rds:us-east-1:958612202038:db:wgiftcard-aurora-test-us-east-1e,wgiftcard-aurora-test-us-east-1e,FDAWS Gift Solutions - Prod,958612202038,Writer,1,2025-06-03T22:00:00Z,Aurora MySQL,db.r5.8xlarge,r5,aurora,6,694.00,9,85,191395,15477,185,USD,3.67,2543.93,Rightsize,Rightsize,db.x2g.4xlarge,x2g,,,32.00000,16.00000,256.00000,256.00000,0,N/A,0,N/A,N/A,4750,false,false,true,0.00,2.38,890.37,35.00,,prod,prod,49200,uaid-05823,uaid-05823,,nss,,,,,,,,,nss,,,,,,7
t3-proddb-backup-100724-cluster,arn:aws:rds:us-east-1:117054633658:db:t3-proddb-backup-100724,t3-proddb-backup-100724,fdaws-emv-certification-prod,117054633658,Writer,1,2025-06-03T21:00:00Z,Aurora PostgreSQL,db.r5.2xlarge,r5,aurora,100,694.00,17,75,348,1,0,USD,0.92,635.98,Terminate,Terminate,db.r5.2xlarge,r5,,,8.00000,8.00000,64.00000,64.00000,0,N/A,0,N/A,3500,3500,false,true,true,0.00,0.92,635.98,100.00,,prod,prod,500,uaid-06331,uaid-06331,,gbs,,,,,,,,,gbs,,,,,,8
bts-prod-merchant-db-east-global-cluster-1,arn:aws:rds:us-east-1:675440017561:db:bts-prod-merchant-db-east-global-instance-1,bts-prod-merchant-db-east-global-instance-1,FDAWS BusinessTrack Prod,675440017561,Reader,1,2025-06-03T21:00:00Z,Aurora MySQL,db.r5.12xlarge,r5,aurora,60,694.00,3,81,32,4,133,USD,5.50,3815.89,Rightsize,Rightsize,db.x2g.8xlarge,x2g,,,48.00000,32.00000,384.00000,512.00000,0,N/A,0,N/A,7000,9000,false,false,true,0.00,4.77,508.79,13.00,,prod,prod,500,uaid-02135,uaid-02135,,gbs - rocco,,,,,,,,,gbs - rocco,,,,,,9
clx-prod-fraudvas-db-west,arn:aws:rds:us-west-2:675440017561:db:clx-prod-fraudvas-db-west-instance-1,clx-prod-fraudvas-db-west-instance-1,FDAWS BusinessTrack Prod,675440017561,Reader (Failover),1,2025-06-03T21:00:00Z,Aurora MySQL,db.r5.12xlarge,r5,aurora,0,694.00,23,82,98913,12965,130,USD,5.50,3815.89,Rightsize,Rightsize,db.x2g.8xlarge,x2g,,,48.00000,32.00000,384.00000,512.00000,0,N/A,0,N/A,7000,9000,false,false,true,0.00,4.77,508.79,13.00,,prod,prod,500,uaid-02135,uaid-02135,,gbs - rocco,,,,,,,,,gbs - rocco,,,,,,10
